Store,Avocado,Bread,Market Share
Tesco,0.7,0.184,27.6
Aldi,0.35,0.2,9.3
Lidl,0.7,0.188,7.5
Asda,0.8,0.2,13.7
Morrisons,0.845,0.184,8.8
Sainsburys,0.89,0.192,15.7
Waitrose,1.2,0.2,4.6
M&S,1,0.1848,1.7
Co-op,0.9,0.1448,5.3
Iceland,0.85,0.144,1.8
