Ward,Year,Value,AvoToastCost,AvoCost
Hillfields,1996,43000,80193.95748,0.5362
Horfield,1996,52186.25,97326.09101,0.5362
Knowle,1996,46000,85788.88474,0.5362
Lawrence Hill,1996,28805.75,53722.02536,0.5362
Lockleaze,1996,43062.5,80310.51846,0.5362
Redland,1996,71437.5,133229.2055,0.5362
Southmead,1996,40237.5,75041.96195,0.5362
Southville,1996,45375,84623.2749,0.5362
St George East,1996,46124.375,86020.8411,0.5362
St George West,1996,35750,66672.88325,0.5362
Stockwood,1996,50050,93342.03655,0.5362
Henleaze,1996,81989.14106,152907.7603,0.5362
Stoke Bishop,1996,88900,165796.3446,0.5362
Westbury-on-Trym,1996,84431.25,157462.2342,0.5362
Windmill Hill,1996,38925,72594.18128,0.5362
Ashley,1995,46250,88347.65998,0.5235
Avonmouth,1995,43500,83094.55587,0.5235
Bedminster,1995,40250,76886.34193,0.5235
Bishopston,1995,57450,109742.1203,0.5235
Bishopsworth,1995,48750,93123.20917,0.5235
Brislington East,1995,43775,83619.86628,0.5235
Brislington West,1995,43000,82139.44604,0.5235
Cabot,1995,48950,93505.2531,0.5235
Clifton,1995,70000,133715.3773,0.5235
Clifton East,1995,67000,127984.7182,0.5235
Cotham,1995,65000,124164.2789,0.5235
Easton,1995,32100,61318.05158,0.5235
Eastville,1995,40000,76408.78701,0.5235
Filwood,1995,29000,55396.37058,0.5235
Frome Vale,1995,46500,88825.2149,0.5235
Hartcliffe,1995,40000,76408.78701,0.5235
Henbury,1995,45500,86914.99522,0.5235
Hengrove,1995,46500,88825.2149,0.5235
Whitchurch Park,1995,46500,88825.2149,0.5235
Hillfields,1995,43000,82139.44604,0.5235
Horfield,1995,52000,99331.42311,0.5235
Knowle,1995,46000,87870.10506,0.5235
Lawrence Hill,1995,28571,54576.88634,0.5235
Lockleaze,1995,43000,82139.44604,0.5235
Redland,1995,70000,133715.3773,0.5235
Southmead,1995,41000,78319.00669,0.5235
Southville,1995,46250,88347.65998,0.5235
St George East,1995,45000,85959.88539,0.5235
St George West,1995,34250,65425.02388,0.5235
Stockwood,1995,50000,95510.98376,0.5235
Henleaze,1995,85622.60442,163557.9836,0.5235
Stoke Bishop,1995,93000,177650.4298,0.5235
Westbury-on-Trym,1995,82500,157593.1232,0.5235
Windmill Hill,1995,40000,76408.78701,0.5235
