,Date,GC=F,ETH-USD,^FTSE,AVDO-USD,GC=F_z_norm,ETH-USD_z_norm,^FTSE_z_norm,AVDO-USD_z_norm
2153,2022-08-24,1747.800048828125,1657.0592041015625,7471.5,1364.2969970703125,-1.1658751357255954,-0.3010880847517093,-0.04701507062926475,1.0696032328723868
2154,2022-08-25,1757.699951171875,1696.45703125,7479.7001953125,1353.847412109375,-1.0745820034214413,-0.22170179273641333,-0.012666530544176203,1.0404324799990523
2155,2022-08-26,1736.0999755859375,1507.7828369140625,7427.2998046875,1466.940673828125,-1.2737687590542794,-0.6018787154603727,-0.2321584876581075,1.3561402905551019
2157,2022-08-30,1723.199951171875,1523.8388671875,7361.60009765625,1120.2490234375,-1.3927278754846877,-0.5695259488194314,-0.5073579109086088,0.38832611471953915
2158,2022-08-31,1712.800048828125,1553.6849365234375,7284.2001953125,1000.0164794921876,-1.4886318175288888,-0.5093863688653254,-0.831566487280397,0.0526884946732036
2159,2022-09-01,1696.5999755859375,1586.1767578125,7148.5,1000.010498046875,-1.6380227285179962,-0.4439156208658479,-1.3999802165412818,0.05267179704705942
2160,2022-09-02,1709.800048828125,1577.220458984375,7281.2001953125,1000.1940307617188,-1.5162966759691712,-0.4619624880564407,-0.8441327270257099,0.053184141555371725
2161,2022-09-06,1700.4000244140625,1561.74853515625,7300.39990234375,885.0266723632812,-1.60298012421925,-0.49313828509799557,-0.7637100198275577,-0.2683136560580337
2162,2022-09-07,1715.300048828125,1629.9063720703125,7237.7998046875,852.794189453125,-1.4655777688286535,-0.3558008140744121,-1.0259259649037027,-0.35829290374882344
2163,2022-09-08,1708.0,1635.34765625,7262.10009765625,941.1258544921876,-1.5328960413077293,-0.3448366719860834,-0.9241381957948184,-0.11170883544593391
2164,2022-09-09,1716.199951171875,1719.08544921875,7351.10009765625,848.8890991210938,-1.4572792118453464,-0.17610571988845675,-0.5513397500172038,-0.36919423862954504
2165,2022-09-12,1728.0999755859375,1713.7652587890625,7473.0,946.4734497070312,-1.3475417148950322,-0.18682585908387186,-0.04073195075660832,-0.09678064652149697
